Property Number,Date,Brand,Model,Color ,Stolen,Stolen From,Status,Incident number,Agency
P16026,04/02/2016,EAA,,BLK,Stolen Locally,Stolen Vehicle, Recovered Locally,B16-12278,BPD
P16080,04/08/2016,BUSHMASTER,CARBON-15,,Stolen Locally,Residence, Not Recovered,B16-13074,BPD
P16081,04/08/2016,GLOCK,17,,Stolen Locally,Residence, Recovered Other,B16-13074,BPD
P16082,04/08/2016,KEL-TEC,PMR-30,,Stolen Locally,Residence, Not Recovered,B16-13074,BPD
P16083,04/08/2016,,AK-47,,Stolen Locally,Residence, Not Recovered,B16-13074,BPD
P16575,04/28/2016,FMJ,DERRINGER,,Stolen Locally,Residence, Not Recovered,B16-16094,BPD
P16968,05/11/2016,SMITH & WESSON,M&P 9MM,,Stolen Locally,Vehicle, Not Recovered,B16-17926,BPD
P17467,05/26/2016,HI POINT,C9 9MM,BLK,Stolen Locally,Stolen Vehicle, Not Recovered,B16-20050,BPD
P17535,05/29/2016,GLOCK,,,Stolen Locally,Residence, Not Recovered,B16-20472,BPD
P17657,06/01/2016,TAURUS,MILLENNIUM G2,,Stolen Locally,Vehicle, Not Recovered,B16-20946,BPD
P17741,06/04/2016,MAGNUM 357,19,,Stolen Locally,Vehicle, Not Recovered,B16-21279,BPD
P18120,06/13/2016,RUGER LCR 357,05450,BLK,Stolen Locally,Vehicle, Not Recovered,B16-22505,BPD
P18148,06/14/2016,RUGER,MARK 1,BLK,Stolen Locally,Vehicle, Not Recovered,B16-22505,BPD
P18424,06/22/2016,SMITH & WESSON,MMP 45,BLK,Stolen Locally,Vehicle, Not Recovered,B16-23803,BPD
P18477,06/26/2016,SMITH & WESSON,SHIELD,GRY,Stolen Locally,Stolen Vehicle, Not Recovered,B16-24331,BPD
P18510,06/27/2016,GLOCK,9MM 19,BLK,Stolen Locally,Vehicle, Not Recovered,B16-24457,BPD
P18537,06/28/2016,TAURUS,357,BLK,Stolen Locally,Vehicle, Not Recovered,B16-24622,BPD
P18570,06/28/2016,TITAN,TIGER,BLK,Stolen Locally,Vehicle, Not Recovered,B16-24680,BPD
P18600,06/29/2016,.22 PISTOL,,SIL,Stolen Locally,Residence, Not Recovered,B16-24702,BPD
